,electrometer,postcode,location,rows,f
388,659,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040911_20140501_20160402.csv
389,658,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040912_20140501_20160402.csv
390,656,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040913_20140501_20160402.csv
391,657,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040914_20140501_20160402.csv
392,660,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040915_20140501_20160402.csv
393,661,721 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040916_20140501_20160402.csv
394,655,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040917_20140501_20160402.csv
395,737,640 00,Brno - Škrobárny,46849,data/cz/1814123119_20141201_20160402.csv
396,945,,,38946,data/cz/1814442022_20150221_20160402.csv
397,469,639 00,Brno - Spielberk,78913,data/cz/18892_20140101_20160402.csv
398,842,,,6,data/cz/1893805_20150626_20150626.csv
399,339,639 00,Brno - Škrobárny,79104,data/cz/2097569_20131230_20160402.csv
400,361,639 00,Brno - Škrobárny,79104,data/cz/2097570_20131230_20160402.csv
401,340,639 00,Brno - Škrobárny,79104,data/cz/2097571_20131230_20160402.csv
402,733,,,46273,data/cz/2514245033_20141207_20160402.csv
403,352,639 00,Brno - Škrobárny,78913,data/cz/2732421_20140101_20160402.csv
404,857,,,38209,data/cz/300056_20150301_20160402.csv
405,858,,,38209,data/cz/300068_20150301_20160402.csv
406,861,,,38209,data/cz/300069_20150301_20160402.csv
407,856,,,38209,data/cz/300072_20150301_20160402.csv
408,855,,,38209,data/cz/300073_20150301_20160402.csv
409,859,,,38209,data/cz/300074_20150301_20160402.csv
410,776,,,38209,data/cz/300112_20150301_20160402.csv
411,853,,,38209,data/cz/300125_20150301_20160402.csv
412,854,,,38209,data/cz/300139_20150301_20160402.csv
413,852,,,38209,data/cz/300147_20150301_20160402.csv
414,863,,,38209,data/cz/300157_20150301_20160402.csv
415,862,,,38209,data/cz/300159_20150301_20160402.csv
416,603,,,112665,data/cz/300452_20131230_20170317.csv
417,726,,,54241,data/cz/300458_20140915_20160402.csv
418,729,,,49729,data/cz/300730_20141101_20160402.csv
419,715,,,89412,data/cz/300780_20140829_20170317.csv
420,976,,,72495,data/cz/300781_20150221_20170317.csv
421,632,,,106810,data/cz/300783_20140301_20170317.csv
422,653,,,92122,data/cz/301463_20140801_20170317.csv
423,652,365 02,Bor u Tachova, Nová Hospoda,68161,data/cz/301982_20140423_20160402.csv
424,827,,,97,data/cz/326307_20150301_20150302.csv
425,197,353 02,Bor u Tachova, Nová Hospoda,191,data/cz/37109113_20131229_20131231.csv
426,183,627 00,Brno - ?ernovické terasy,3836,data/cz/37109114_20140220_20140401.csv
427,844,,,10,data/cz/3718530_20150626_20150626.csv
428,506,640 00,Brno - Škrobárny,32352,data/cz/40627_20131230_20141202.csv
429,504,627 00,Brno - ?ernovické terasy,78913,data/cz/42434915_20140101_20160402.csv
430,505,639 00,Brno - Škrobárny,79104,data/cz/43692_20131230_20160402.csv
431,369,,,112664,data/cz/449087_20131230_20170317.csv
432,762,,,72566,data/cz/449088_20150220_20170317.csv
433,363,639 00,Brno - Spielberk,112664,data/cz/449089_20131230_20170317.csv
434,763,,,72566,data/cz/449090_20150220_20170317.csv
435,371,639 00,Brno - Spielberk,112664,data/cz/449091_20131230_20170317.csv
436,378,639 00,Brno - Spielberk,112664,data/cz/449093_20131230_20170317.csv
437,275,639 00,Brno - Škrobárny,79104,data/cz/449094_20131230_20160402.csv
438,384,639 00,Brno - Spielberk,112664,data/cz/449095_20131230_20170317.csv
439,614,,,78913,data/cz/449096_20140101_20160402.csv
440,372,639 00,Brno - Spielberk,112664,data/cz/449097_20131230_20170317.csv
441,193,,,112663,data/cz/449098_20131230_20170317.csv
442,376,639 00,Brno - Spielberk,112664,data/cz/449100_20131230_20170317.csv
443,212,720 00,Ostrava - Hrabová, fáze I.,79009,data/cz/449102_20131231_20160402.csv
444,385,639 00,Brno - Spielberk,112664,data/cz/449103_20131230_20170317.csv
445,386,639 00,Brno - Spielberk,112664,data/cz/449104_20131230_20170317.csv
446,387,639 00,Brno - Spielberk,112664,data/cz/449105_20131230_20170317.csv
447,388,639 00,Brno - Spielberk,112664,data/cz/449106_20131230_20170317.csv
448,389,639 00,Brno - Spielberk,112664,data/cz/449107_20131230_20170317.csv
449,390,,,112664,data/cz/449108_20131230_20170317.csv
450,391,639 00,Brno - Spielberk,112664,data/cz/449109_20131230_20170317.csv
451,312,639 00,Brno - Škrobárny,79104,data/cz/449110_20131230_20160402.csv
452,119,691 23,Poho?elice II,78913,data/cz/449111_20140101_20160402.csv
453,611,,,78913,data/cz/449112_20140101_20160402.csv
454,612,,,78913,data/cz/449113_20140101_20160402.csv
455,202,,,112663,data/cz/449114_20131230_20170317.csv
456,609,,,78913,data/cz/449115_20140101_20160402.csv
457,613,,,78913,data/cz/449117_20140101_20160402.csv
458,155,664 42,Mod?ice - Brno,78913,data/cz/449118_20140101_20160402.csv
459,152,664 42,Mod?ice - Brno,78913,data/cz/449119_20140101_20160402.csv
460,153,664 42,Mod?ice - Brno,78913,data/cz/449120_20140101_20160402.csv
461,257,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/449121_20140101_20160402.csv
462,141,664 42,Mod?ice - Brno,78913,data/cz/449122_20140101_20160402.csv
463,142,664 42,Mod?ice - Brno,78913,data/cz/449123_20140101_20160402.csv
464,124,691 23,Poho?elice II,78913,data/cz/449124_20140101_20160402.csv
465,140,664 42,Mod?ice - Brno,78913,data/cz/449125_20140101_20160402.csv
466,154,,,78913,data/cz/449126_20140101_20160402.csv
467,375,639 00,Brno - Spielberk,112664,data/cz/449127_20131230_20170317.csv
468,213,720 00,Ostrava - Hrabová, fáze I.,79009,data/cz/449128_20131231_20160402.csv
469,366,639 00,Brno - Spielberk,112664,data/cz/449129_20131230_20170317.csv
470,367,639 00,Brno - Spielberk,112664,data/cz/449131_20131230_20170317.csv
471,365,639 00,Brno - Spielberk,112664,data/cz/449132_20131230_20170317.csv
472,147,664 42,Mod?ice - Brno,78913,data/cz/449134_20140101_20160402.csv
473,373,639 00,Brno - Spielberk,112664,data/cz/449135_20131230_20170317.csv
474,374,639 00,Brno - Spielberk,112664,data/cz/449136_20131230_20170317.csv
475,249,720 00,Ostrava - Hrabová, fáze I.,11617,data/cz/449139_20140101_20140502.csv
476,889,,,30057,data/cz/449141_20150415_20160222.csv
477,396,639 00,Brno - Spielberk,112664,data/cz/449142_20131230_20170317.csv
478,397,639 00,Brno - Spielberk,112664,data/cz/449145_20131230_20170317.csv
479,263,720 00,Ostrava - Hrabová, fáze I.,79009,data/cz/449149_20131231_20160402.csv
480,125,691 23,Poho?elice II,78913,data/cz/449150_20140101_20160402.csv
481,370,639 00,Brno - Spielberk,112664,data/cz/449154_20131230_20170317.csv
482,198,354 02,Bor u Tachova, Nová Hospoda,38689,data/cz/449155_20140101_20150208.csv
483,398,639 00,Brno - Spielberk,112664,data/cz/449156_20131230_20170317.csv
484,146,664 42,Mod?ice - Brno,78913,data/cz/449157_20140101_20160402.csv
485,364,639 00,Brno - Spielberk,112664,data/cz/449158_20131230_20170317.csv
486,394,639 00,Brno - Spielberk,112664,data/cz/449159_20131230_20170317.csv
487,233,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/449160_20140101_20160402.csv
488,395,639 00,Brno - Spielberk,112664,data/cz/449161_20131230_20170317.csv
489,317,,,78913,data/cz/449162_20140101_20160402.csv
490,392,639 00,Brno - Spielberk,112664,data/cz/449163_20131230_20170317.csv
491,165,664 42,Mod?ice - Brno,49633,data/cz/449164_20140101_20150602.csv
492,393,639 00,Brno - Spielberk,112664,data/cz/449165_20131230_20170317.csv
493,145,664 42,Mod?ice - Brno,78913,data/cz/449166_20140101_20160402.csv
494,667,,,93532,data/cz/45888819_20140630_20170301.csv
495,668,,,93532,data/cz/45888863_20140630_20170301.csv
496,519,720 00,Ostrava - Hrabová, fáze I.,112616,data/cz/46477159_20131229_20170317.csv
497,65,366 02,Bor u Tachova, Nová Hospoda,2661530,data/cz/46477164_20140205_20900101.csv
498,66,366 02,Bor u Tachova, Nová Hospoda,2665095,data/cz/46477184_20131229_20900101.csv
499,1058,,,33028,data/cz/46477186_20160322_20170301.csv
500,1059,,,33028,data/cz/46477191_20160322_20170301.csv
501,905,,,2,data/cz/46477464_20150221_20150221.csv
502,20,664 51,Šlapanice,112616,data/cz/46498399_20131229_20170317.csv
503,67,720 00,Ostrava - Hrabová, fáze II.,102536,data/cz/46498405_20131229_20161202.csv
504,68,627 00,Brno - ?ernovické terasy,2665507,data/cz/46498409_20131229_20900105.csv
505,69,627 00,Brno - ?ernovické terasy,84030,data/cz/46498417_20131229_20160523.csv
506,992,,,72430,data/cz/46901560_20150221_20170317.csv
507,70,720 00,Ostrava - Hrabová, fáze II.,2665118,data/cz/46901560x_20131229_20900101.csv
508,512,639 00,Brno - Spielberk,112665,data/cz/469960_20131230_20170317.csv
509,406,,,97,data/cz/469962_20140101_20140102.csv
510,71,627 00,Brno - ?ernovické terasy,2665125,data/cz/47392425_20131229_20900101.csv
511,72,720 00,Ostrava - Hrabová, fáze I.,2666861,data/cz/47446565_20131229_20900119.csv
512,1060,,,17668,data/cz/47733353_20160430_20161031.csv
513,27,301 00,Plze?, Borská pole,111072,data/cz/47781567_20131229_20170228.csv
514,1081,,,2980,data/cz/47863069_20160930_20161031.csv
515,627,,,97917,data/cz/47906295_20140116_20161031.csv
516,1061,,,17668,data/cz/47906344_20160430_20161031.csv
517,606,,,111072,data/cz/48076271_20131229_20170228.csv
518,523,301 00,Plze?, Borská pole,111080,data/cz/48076300_20131229_20170301.csv
519,510,627 00,Brno - ?ernovické terasy,89031,data/cz/48076564_20131229_20160714.csv
520,524,,,111072,data/cz/48076974_20131229_20170228.csv
521,115,691 23,Poho?elice II,73506,data/cz/48076990_20131229_20160203.csv
522,128,664 42,Mod?ice - Brno,43143,data/cz/48076996_20131229_20150324.csv
523,156,664 42,Mod?ice - Brno,111072,data/cz/48077313_20131229_20170228.csv
524,1082,,,2980,data/cz/48078687_20160930_20161031.csv
525,1083,,,2980,data/cz/48078858_20160930_20161031.csv
526,28,301 00,Plze?, Borská pole,43860,data/cz/48078868_20131229_20150331.csv
527,867,,,68040,data/cz/48256928_20150323_20170228.csv
528,1062,,,17668,data/cz/48256931_20160430_20161031.csv
529,1071,720 00,Ostarva - Hrabová,22975,data/cz/48256932_20160704_20170228.csv
530,994,,,72482,data/cz/48256941_20150221_20170317.csv
531,654,,,93724,data/cz/48256960_20140430_20170101.csv
532,998,,,70882,data/cz/48256980_20150221_20170228.csv
533,999,,,70881,data/cz/48256984_20150221_20170228.csv
534,665,,,96349,data/cz/48256989_20140601_20170228.csv
535,1007,,,70969,data/cz/48256990_20150220_20170228.csv
536,974,,,31977,data/cz/48257001_20150221_20160120.csv
537,718,,,38600,data/cz/48257001x_20140901_20151008.csv
538,868,,,2624203,data/cz/48257011_20150228_20900101.csv
539,759,,,2628584,data/cz/48257020_20150114_20900101.csv
540,599,,,112668,data/cz/48257156_20131229_20170317.csv
541,1000,,,70880,data/cz/48257282_20150221_20170228.csv
542,1078,,,11812,data/cz/48257534_20160930_20170131.csv
543,666,,,96467,data/cz/48257677_20140616_20170317.csv
544,1012,,,40796,data/cz/48257844_20150131_20160331.csv
545,1013,,,32352,data/cz/48257880_20160229_20170131.csv
546,628,,,109448,data/cz/48651615_20140116_20170301.csv
547,1014,,,35040,data/cz/48663659_20160229_20170228.csv
548,1049,,,29380,data/cz/48663663_20160331_20170131.csv
549,217,720 00,Ostrava - Hrabová, fáze I.,73216,data/cz/48663691_20131229_20160131.csv
550,216,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/48663707_20131229_20170228.csv
551,973,,,70903,data/cz/48663715_20150221_20170228.csv
552,597,,,61428,data/cz/48663715x_20131229_20150930.csv
553,218,720 00,Ostrava - Hrabová, fáze I.,105408,data/cz/48663753_20131229_20161231.csv
554,215,720 00,Ostrava - Hrabová, fáze I.,73213,data/cz/48663758_20131229_20160131.csv
555,8,586 02,Jihlava - Antonín?v d?l,111088,data/cz/48663784_20131229_20170301.csv
556,7,586 02,Jihlava - Antonín?v d?l,111088,data/cz/48663785_20131229_20170301.csv
557,3,586 02,Jihlava - Antonín?v d?l,111088,data/cz/48663790_20131229_20170301.csv
558,4,586 02,Jihlava - Antonín?v d?l,111088,data/cz/48663796_20131229_20170301.csv
559,5,586 02,Jihlava - Antonín?v d?l,111088,data/cz/48663800_20131229_20170301.csv
560,206,363 02,Bor u Tachova, Nová Hospoda,112667,data/cz/48663801_20131229_20170317.csv
561,204,361 02,Bor u Tachova, Nová Hospoda,112667,data/cz/48663803_20131229_20170317.csv
562,74,720 00,Ostrava - Hrabová, fáze II.,2665065,data/cz/48663805_20131229_20900101.csv
563,75,290 22,Lysá nad Labem, Litol,111088,data/cz/48663806_20131229_20170301.csv
564,76,289 22,Lysá nad labem, Litol,111088,data/cz/48663807_20131229_20170301.csv
565,977,,,72248,data/cz/48663808_20150221_20170315.csv
566,77,720 00,Ostrava - Hrabová, fáze II.,64428,data/cz/48663808x_20131229_20151101.csv
567,105,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/48663810_20131229_20170228.csv
568,106,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/48663812_20131229_20170228.csv
569,107,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/48663819_20131229_20170228.csv
570,109,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/48663824_20131229_20170228.csv
571,108,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/48663825_20131229_20170228.csv
572,78,440 01,Louny,111088,data/cz/48663827_20131229_20170301.csv
573,207,364 02,Bor u Tachova, Nová Hospoda,112667,data/cz/48663828_20131229_20170317.csv
574,120,691 23,Poho?elice II,2665354,data/cz/48663830_20131229_20900104.csv
575,116,691 23,Poho?elice II,111072,data/cz/48663831_20131229_20170228.csv
576,191,627 00,Brno - ?ernovické terasy,111072,data/cz/48664376_20131229_20170228.csv
577,79,720 00,Ostrava - Hrabová, fáze II.,99568,data/cz/48664379_20131229_20161101.csv
578,14,664 51,Šlapanice,112616,data/cz/48664381_20131229_20170317.csv
579,470,639 00,Brno - Spielberk,111072,data/cz/48664384_20131229_20170228.csv
580,190,627 00,Brno - ?ernovické terasy,111072,data/cz/48664386_20131229_20170228.csv
581,80,291 22,Lysá nad Labem, Litol,111088,data/cz/48664393_20131229_20170301.csv
582,348,639 00,Brno - Škrobárny,111072,data/cz/48664396_20131229_20170228.csv
583,81,720 00,Ostrava - Hrabová, fáze I.,111088,data/cz/48664404_20131229_20170301.csv
584,82,720 00,Ostrava - Hrabová, fáze II.,2665056,data/cz/48664410_20131229_20891231.csv
585,9,586 02,Jihlava - Antonín?v d?l,2665056,data/cz/48664414_20131229_20891231.csv
586,17,664 51,Šlapanice,111072,data/cz/48664418_20131229_20170228.csv
587,123,691 23,Poho?elice II,111072,data/cz/48664420_20131229_20170228.csv
588,83,440 01,Louny,112616,data/cz/48664429_20131229_20170317.csv
589,18,664 51,Šlapanice,111072,data/cz/48664430_20131229_20170228.csv
590,84,720 00,Ostrava - Hrabová, fáze I.,111088,data/cz/48664433_20131229_20170301.csv
591,85,440 01,Louny,111088,data/cz/48664435_20131229_20170301.csv
592,110,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/48664437_20131229_20170228.csv
593,42,301 00,Plze?, Borská pole,111080,data/cz/48664442_20131229_20170301.csv
594,114,,,38204,data/cz/48664449_20131229_20150131.csv
595,520,639 00,Brno - Spielberk,111072,data/cz/48664450_20131229_20170228.csv
596,1015,,,35040,data/cz/48664451_20160229_20170228.csv
597,869,,,70180,data/cz/48664463_20150228_20170228.csv
598,462,639 00,Brno - Spielberk,111072,data/cz/48664469_20131229_20170228.csv
599,825,,,17347,data/cz/48838326_20150423_20151021.csv
600,902,,,9245,data/cz/49339440_20150612_20150916.csv
601,1001,,,70880,data/cz/49339854_20150221_20170228.csv
602,1080,,,14500,data/cz/49339873_20160930_20170228.csv
603,906,,,2,data/cz/49656069_20150221_20150221.csv
604,86,720 00,Ostrava - Hrabová, fáze II.,112616,data/cz/49656499_20131229_20170317.csv
605,87,720 00,Ostrava - Hrabová, fáze II.,111088,data/cz/49656541_20131229_20170301.csv
606,513,,,111088,data/cz/49656885_20131229_20170301.csv
607,488,628 00,Brno - ?ernovické terasy,111072,data/cz/49656943_20131229_20170228.csv
608,514,720 00,Ostrava - Hrabová, fáze II.,111088,data/cz/49656944_20131229_20170301.csv
609,491,629 00,Brno - ?ernovické terasy,111072,data/cz/49656945_20131229_20170228.csv
610,88,720 00,Ostrava - Hrabová, fáze II.,111088,data/cz/49656946_20131229_20170301.csv
611,494,627 00,Brno - ?ernovické terasy,111072,data/cz/49656947_20131229_20170228.csv
612,26,301 00,Plze?, Borská pole,111072,data/cz/49656948_20131229_20170228.csv
613,37,301 00,Plze?, Borská pole,112666,data/cz/49656951_20131229_20170317.csv
614,669,,,93532,data/cz/49656952_20140630_20170301.csv
615,482,639 00,Brno - Spielberk,111072,data/cz/49656956_20131229_20170228.csv
616,24,301 00,Plze?, Borská pole,112616,data/cz/49656957_20131229_20170317.csv
617,495,627 00,Brno - ?ernovické terasy,111072,data/cz/49656959_20131229_20170228.csv
618,496,627 00,Brno - ?ernovické terasy,111072,data/cz/49656960_20131229_20170228.csv
619,525,,,111072,data/cz/49656961_20131229_20170228.csv
620,126,691 23,Poho?elice II,111072,data/cz/49656962_20131229_20170228.csv
621,89,630 00,Brno - ?ernovické terasy,112616,data/cz/49656963_20131229_20170317.csv
622,631,,,105963,data/cz/49656964_20140221_20170301.csv
623,501,627 00,Brno - ?ernovické terasy,111088,data/cz/49656967_20131229_20170301.csv
624,903,,,20,data/cz/49656969_20150612_20150612.csv
625,516,720 00,Ostrava - Hrabová, fáze II.,111072,data/cz/49656971_20131229_20170228.csv
626,616,,,111072,data/cz/49656972_20131229_20170228.csv
627,127,691 23,Poho?elice II,111072,data/cz/49656973_20131229_20170228.csv
628,1016,,,32352,data/cz/49656974_20160229_20170131.csv
629,25,301 00,Plze?,111072,data/cz/49656975_20131229_20170228.csv
630,500,627 00,Brno - ?ernovické terasy,111088,data/cz/49656977_20131229_20170301.csv
631,210,369 02,,112666,data/cz/49656978_20131229_20170317.csv
632,670,,,2647350,data/cz/49656986_20140703_20900101.csv
633,6,586 02,Jihlava - Antonín?v d?l,111088,data/cz/49657004_20131229_20170301.csv
634,90,,,2665100,data/cz/49657008_20131229_20900101.csv
635,1008,,,70968,data/cz/49747584_20150220_20170228.csv
636,989,,,33066,data/cz/49747584XX_20150221_20160131.csv
637,175,627 00,Brno - ?ernovické terasy,111072,data/cz/49747585_20131229_20170228.csv
638,203,360 02,Bor u Tachova, Nová Hospoda,112667,data/cz/49747586_20131229_20170317.csv
639,515,720 00,Ostrava - Hrabová, fáze II.,111088,data/cz/49764130_20131229_20170301.csv
640,664,,,94934,data/cz/49764384_20140616_20170301.csv
641,174,627 00,Brno - ?ernovické terasy,111072,data/cz/49797461_20131229_20170228.csv
642,148,664 42,Mod?ice - Brno,111072,data/cz/49797462_20131229_20170228.csv
643,178,627 00,Brno - ?ernovické terasy,111072,data/cz/49797463_20131229_20170228.csv
644,91,720 00,Ostrava - Hrabová, fáze II.,108384,data/cz/49897106_20131229_20170131.csv
645,196,351 02,Bor u Tachova, Nová Hospoda,112667,data/cz/49897107_20131229_20170317.csv
646,211,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/49897108_20131229_20170228.csv
647,194,349 02,Bor u Tachova, Nová Hospoda,112666,data/cz/49897109_20131229_20170317.csv
648,130,664 42,Mod?ice - Brno,2665104,data/cz/49945244_20131229_20900101.csv
649,173,627 00,Brno - ?ernovické terasy,111072,data/cz/49945245_20131229_20170228.csv
650,377,639 00,Brno - Spielberk,111072,data/cz/49945246_20131229_20170228.csv
651,362,639 00,Brno - Spielberk,111072,data/cz/49945247_20131229_20170228.csv
652,383,639 00,Brno - Spielberk,111072,data/cz/49945248_20131229_20170228.csv
653,199,355 02,Bor u Tachova, Nová Hospoda,112667,data/cz/49945249_20131229_20170317.csv
654,177,627 00,Brno - ?ernovické terasy,111072,data/cz/49945250_20131229_20170228.csv
655,149,664 42,Mod?ice - Brno,111072,data/cz/49945251_20131229_20170228.csv
656,92,720 00,Ostrava - Hrabová, fáze I.,112616,data/cz/49945252_20131229_20170317.csv
657,195,350 02,Bor u Tachova, Nová Hospoda,112667,data/cz/49945253_20131229_20170317.csv
658,997,,,72428,data/cz/49977838_20150221_20170317.csv
659,1057,,,34556,data/cz/49977874_20160322_20170317.csv
660,738,,,111072,data/cz/49977943_20131229_20170228.csv
661,94,627 00,Brno - ?ernovické terasy,111072,data/cz/50011945_20131229_20170228.csv
662,135,664 42,Mod?ice - Brno,111072,data/cz/50011946_20131229_20170228.csv
663,134,664 42,Mod?ice - Brno,111072,data/cz/50011947_20131229_20170228.csv
664,132,664 42,Mod?ice - Brno,111072,data/cz/50011948_20131229_20170228.csv
665,131,664 42,Mod?ice - Brno,111072,data/cz/50011950_20131229_20170228.csv
666,41,301 00,Plze?, Borská pole,112662,data/cz/50011951_20131229_20170317.csv
667,179,627 00,Brno - ?ernovické terasy,111072,data/cz/50011952_20131229_20170228.csv
668,133,664 42,Mod?ice - Brno,111072,data/cz/50011953_20131229_20170228.csv
669,137,664 42,Mod?ice - Brno,112667,data/cz/50011954_20131229_20170317.csv
670,150,664 42,Mod?ice - Brno,111072,data/cz/50106483_20131229_20170228.csv
671,166,664 42,Mod?ice - Brno,111072,data/cz/50106484_20131229_20170228.csv
672,35,301 00,Plze?, Borská pole,112662,data/cz/50106485_20131229_20170317.csv
673,167,664 42,Mod?ice - Brno,111072,data/cz/50106486_20131229_20170228.csv
674,129,664 42,Mod?ice - Brno,111072,data/cz/50106487_20131229_20170228.csv
675,95,627 00,Brno - ?ernovické terasy,111072,data/cz/50106489_20131229_20170228.csv
676,845,,,46310,data/cz/50106490_20150204_20160601.csv
677,40,301 00,Plze?, Borská pole,111080,data/cz/50106491_20131229_20170301.csv
678,138,664 42,Mod?ice - Brno,111072,data/cz/50106492_20131229_20170228.csv
679,38,301 00,Plze?, Borská pole,112662,data/cz/50106493_20131229_20170317.csv
680,29,691 23,Poho?elice, fáze I.,111072,data/cz/50106494_20131229_20170228.csv
681,39,301 00,Plze?, Borská pole,111080,data/cz/50106495_20131229_20170301.csv
682,30,,,111072,data/cz/50106496_20131229_20170228.csv
683,136,664 42,Mod?ice - Brno,21333,data/cz/50106498_20131229_20140809.csv
684,56,301 00,Plze?, Borská pole,108392,data/cz/50106499_20131229_20170201.csv
685,151,664 42,Mod?ice - Brno,111072,data/cz/50106500_20131229_20170228.csv
686,36,301 00,Plze?, Borská pole,112662,data/cz/50106501_20131229_20170317.csv
687,1,586 02,Jihlava - Antonín?v d?l,111088,data/cz/50106502_20131229_20170301.csv
688,2,586 02,Jihlava - Antonín?v d?l,111088,data/cz/50367744_20131229_20170301.csv
689,214,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/50367745_20131229_20170228.csv
690,168,664 42,Mod?ice - Brno,111072,data/cz/50367746_20131229_20170228.csv
691,200,357 02,Bor u Tachova, Nová Hospoda,111088,data/cz/50367747_20131229_20170301.csv
692,224,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/50367748_20131229_20170228.csv
693,381,639 00,Brno - Spielberk,111072,data/cz/50367749_20131229_20170228.csv
694,44,664 42,Mod?ice II. - Brno,111072,data/cz/50367750_20131229_20170228.csv
695,221,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/50367751_20131229_20170228.csv
696,31,693 23,Poho?elice, fáze I.,111072,data/cz/50367752_20131229_20170228.csv
697,223,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/50367753_20131229_20170228.csv
698,972,,,70903,data/cz/50381577_20150221_20170228.csv
699,521,,,61428,data/cz/50381577x_20131229_20150930.csv
700,201,358 02,Bor u Tachova, Nová Hospoda,112666,data/cz/50381580_20131229_20170317.csv
701,184,627 00,Brno - ?ernovické terasy,111072,data/cz/50381581_20131229_20170228.csv
702,96,720 00,Ostrava - Hrabová, fáze I.,111088,data/cz/50381582_20131229_20170301.csv
703,379,639 00,Brno - Spielberk,111072,data/cz/50381583_20131229_20170228.csv
704,222,720 00,Ostrava - Hrabová, fáze I.,111072,data/cz/50381584_20131229_20170228.csv
705,97,720 00,Ostrava - Hrabová, fáze I.,111088,data/cz/50381585_20131229_20170301.csv
706,1017,,,35040,data/cz/50381586_20160229_20170228.csv
